Week Bucket Name,Week Ending Date
week_bckt_1,8/18/25
week_bckt_2,8/11/25
week_bckt_3,8/4/25
week_bckt_4,7/28/25
week_bckt_5,7/21/25
week_bckt_6,7/14/25
week_bckt_7,7/7/25
week_bckt_8,6/30/25
week_bckt_9,6/23/25
week_bckt_10,6/16/25
week_bckt_11,6/9/25
week_bckt_12,6/2/25
week_bckt_13,5/26/25
week_bckt_14,5/19/25
week_bckt_15,5/12/25
week_bckt_16,5/5/25
week_bckt_17,4/28/25
week_bckt_18,4/21/25
week_bckt_19,4/14/25
week_bckt_20,4/7/25
week_bckt_21,3/31/25
week_bckt_22,3/24/25
week_bckt_23,3/17/25
week_bckt_24,3/10/25
week_bckt_25,3/3/25
week_bckt_26,2/24/25
week_bckt_27,2/17/25
week_bckt_28,2/10/25
week_bckt_29,2/3/25
week_bckt_30,1/27/25
week_bckt_31,1/20/25
week_bckt_32,1/13/25
week_bckt_33,1/6/25
week_bckt_34,12/30/24
week_bckt_35,12/23/24
week_bckt_36,12/16/24
week_bckt_37,12/9/24
week_bckt_38,12/2/24
week_bckt_39,11/25/24
week_bckt_40,11/18/24
week_bckt_41,11/11/24
week_bckt_42,11/4/24
week_bckt_43,10/28/24
week_bckt_44,10/21/24
week_bckt_45,10/14/24
week_bckt_46,10/7/24
week_bckt_47,9/30/24
week_bckt_48,9/23/24
week_bckt_49,9/16/24
week_bckt_50,9/9/24
week_bckt_51,9/2/24
week_bckt_52,8/26/24
week_bckt_53,8/19/24
week_bckt_54,8/12/24
week_bckt_55,8/5/24
week_bckt_56,7/29/24
week_bckt_57,7/22/24
week_bckt_58,7/15/24
week_bckt_59,7/8/24
week_bckt_60,7/1/24
week_bckt_61,6/24/24
week_bckt_62,6/17/24
week_bckt_63,6/10/24
week_bckt_64,6/3/24
week_bckt_65,5/27/24
week_bckt_66,5/20/24
week_bckt_67,5/13/24
week_bckt_68,5/6/24
week_bckt_69,4/29/24
week_bckt_70,4/22/24
week_bckt_71,4/15/24
week_bckt_72,4/8/24
week_bckt_73,4/1/24
week_bckt_74,3/25/24
week_bckt_75,3/18/24
week_bckt_76,3/11/24
week_bckt_77,3/4/24
week_bckt_78,2/26/24
week_bckt_79,2/19/24
week_bckt_80,2/12/24
week_bckt_81,2/5/24
week_bckt_82,1/29/24
week_bckt_83,1/22/24
week_bckt_84,1/15/24
week_bckt_85,1/8/24
week_bckt_86,1/1/24
week_bckt_87,12/25/23
week_bckt_88,12/18/23
week_bckt_89,12/11/23
week_bckt_90,12/4/23
week_bckt_91,11/27/23
week_bckt_92,11/20/23
week_bckt_93,11/13/23
week_bckt_94,11/6/23
week_bckt_95,10/30/23
week_bckt_96,10/23/23
week_bckt_97,10/16/23
week_bckt_98,10/9/23
week_bckt_99,10/2/23
week_bckt_100,9/25/23
week_bckt_101,9/18/23
week_bckt_102,9/11/23
week_bckt_103,9/4/23
week_bckt_104,8/28/23