Month No,Calendar Date
mth_sales_1,Aug-23
mth_sales_2,Sep-23
mth_sales_3,Oct-23
mth_sales_4,Nov-23
mth_sales_5,Dec-25
mth_sales_6,Jan-23
mth_sales_7,Feb-23
mth_sales_8,Mar-23
mth_sales_9,Apr-23
mth_sales_10,May-23
mth_sales_11,Jun-23
mth_sales_12,Jul-23
mth_sales_13,Aug-23
mth_sales_14,Sep-23
mth_sales_15,Oct-23
mth_sales_16,Nov-23
mth_sales_17,Dec-23
mth_sales_18,Jan-24
mth_sales_19,Feb-24
mth_sales_20,Mar-24
mth_sales_21,Apr-24
mth_sales_22,May-24
mth_sales_23,Jun-24
mth_sales_24,Jul-24